Attendance,Internal_Marks,Assignment_Completion,Study_Hours,Previous_CGPA,Backlogs,Participation,Result_Risk
100.0,70.9,68.5,5.78,7.5,0,Medium,Low
68.0,38.6,80.2,3.41,6.68,1,High,Medium
75.5,75.4,54.1,3.25,5.18,1,Low,High
81.1,56.6,80.4,1.31,8.29,0,Low,Low
63.2,68.5,63.9,3.67,7.75,2,Low,Medium
75.0,82.8,89.9,4.11,5.99,2,Medium,Medium
75.0,43.0,96.0,2.56,7.03,2,Low,High
48.7,40.3,100.0,3.13,6.54,1,Medium,High
90.3,62.7,65.7,2.18,6.49,1,High,Low
84.0,36.4,41.8,4.27,9.09,2,Medium,Medium
65.6,41.9,35.1,5.17,6.58,0,Medium,Low
72.4,53.0,63.0,3.74,9.91,3,High,Low
82.6,57.8,40.5,3.93,6.85,0,Medium,Low
71.1,32.6,35.9,3.25,6.15,1,Medium,High
71.4,48.1,61.8,2.21,7.16,1,High,Medium
53.2,65.5,49.2,2.01,9.89,1,High,Low
83.3,79.2,82.7,2.57,6.82,3,Low,High
76.9,19.7,100.0,3.34,7.62,1,Medium,Medium
79.1,78.5,64.4,3.16,4.3,3,Medium,High
52.1,70.8,75.2,4.69,7.71,0,Medium,Low
99.8,35.5,37.4,4.28,5.36,0,Medium,Medium
77.3,28.6,72.6,5.39,6.86,0,Low,Low
69.2,62.5,55.0,4.33,8.63,0,Medium,Low
100.0,47.5,47.0,2.81,6.7,1,Low,Medium
74.3,57.4,31.8,3.32,7.86,0,High,Low
53.2,70.4,100.0,0.75,6.73,1,Low,High
68.9,48.3,36.8,5.67,6.6,2,Medium,High
40.7,57.9,44.9,2.3,7.33,0,Medium,Medium
90.7,63.5,69.2,2.57,8.3,0,High,Low
68.8,70.9,74.8,5.9,7.12,0,Low,Low
63.9,86.6,74.9,1.57,6.98,1,Medium,Low
91.1,85.5,71.2,2.25,5.85,0,Low,Low
50.2,59.3,51.2,3.08,4.98,1,Low,High
83.0,50.8,84.5,2.31,7.15,0,Medium,Low
44.0,97.5,73.0,3.31,6.78,1,Medium,Medium
65.1,66.5,40.1,3.55,7.32,1,Medium,Medium
56.9,62.7,100.0,4.13,8.24,2,Low,Medium
96.9,35.3,62.3,3.02,7.98,0,Medium,Low
100.0,69.0,88.1,4.22,5.94,3,Medium,Medium
70.1,41.1,40.1,2.68,7.3,1,Medium,Medium
87.6,46.8,45.4,4.09,7.33,2,High,Medium
72.3,31.1,57.7,4.94,6.7,3,Low,High
83.5,45.7,55.4,0.6,4.3,2,Medium,High
63.7,56.1,89.5,2.85,6.03,4,Medium,High
49.4,28.1,36.8,3.45,6.88,2,High,High
48.0,39.0,72.5,0.36,7.89,1,Medium,High
80.7,53.6,49.0,0.0,6.61,0,Medium,Medium
100.0,32.4,79.6,3.65,5.32,1,High,Low
79.0,32.6,73.4,2.22,8.62,3,Medium,High
67.1,40.1,58.2,4.36,6.94,2,Medium,High
100.0,29.8,100.0,3.17,6.44,0,High,Low
78.6,66.0,68.4,3.17,7.62,1,Medium,Low
76.5,37.2,91.2,2.66,7.81,3,High,High
78.8,68.8,42.7,3.34,6.89,0,Low,Medium
73.0,71.6,66.8,1.83,6.28,1,Medium,Medium
70.4,33.5,71.1,2.42,6.3,1,Medium,High
53.5,55.7,72.1,4.36,7.93,1,High,Low
82.5,46.4,62.4,2.81,6.81,1,Medium,Medium
73.6,34.6,52.8,3.94,7.57,3,High,High
92.9,49.0,7.5,3.17,4.69,0,Low,High
69.5,50.7,58.0,2.68,6.38,2,High,Medium
46.4,67.7,51.0,1.74,6.51,2,High,High
73.5,73.4,64.3,4.44,6.41,1,High,Low
100.0,35.3,86.6,1.95,4.64,2,Low,High
69.2,47.7,100.0,3.74,6.43,1,High,Low
61.7,64.5,80.1,0.86,8.85,0,Medium,Low
57.1,76.1,89.8,3.59,7.33,0,Medium,Low
59.2,11.2,82.0,3.76,6.34,1,Medium,High
70.5,77.9,84.0,2.23,6.1,1,High,Low
57.3,52.0,81.3,0.77,5.34,2,Low,High
97.5,82.5,64.3,2.95,7.24,1,High,Low
70.8,47.4,63.0,3.34,6.03,3,Low,High
76.6,40.1,76.2,2.4,6.49,0,Medium,Medium
96.6,55.8,100.0,2.17,8.03,1,Medium,Low
97.5,76.0,85.3,4.54,8.09,0,High,Low
71.8,55.6,100.0,3.02,7.7,2,Low,Medium
80.0,12.7,43.7,2.56,4.97,1,Low,High
86.0,67.3,75.0,4.44,6.28,2,Low,High
72.1,26.1,77.7,3.15,8.37,0,Low,Low
48.3,37.4,80.1,2.14,5.54,0,High,Medium
84.8,34.1,42.3,4.48,8.46,3,Low,High
88.4,22.0,32.9,2.65,6.92,1,High,Medium
81.2,32.5,27.3,4.56,8.09,0,High,Low
61.1,37.3,61.8,2.18,6.46,2,Low,High
72.1,44.0,100.0,3.66,5.56,0,Medium,Medium
66.1,54.0,74.1,5.02,5.74,1,Medium,Medium
70.5,49.0,45.6,3.86,8.7,1,High,Low
94.5,28.4,76.6,3.93,6.57,1,High,Low
97.9,51.7,63.8,3.85,5.48,3,Medium,High
85.0,72.5,73.3,4.46,7.93,0,Low,Low
83.2,72.1,60.8,3.31,5.1,2,Medium,Medium
85.1,57.4,44.0,3.85,6.76,2,High,Medium
74.8,66.1,59.2,2.85,7.36,1,Low,Medium
73.9,71.1,84.2,6.06,7.3,1,Low,Low
64.9,79.5,76.0,1.88,7.46,2,Medium,Medium
74.2,85.5,94.4,4.41,6.84,1,Medium,Low
100.0,49.2,48.5,1.73,4.0,1,High,Medium
88.0,50.1,91.0,3.99,7.24,0,High,Low
69.9,81.5,71.3,5.14,6.9,0,Low,Low
67.9,83.1,73.9,1.56,6.71,1,Low,Medium
62.0,82.7,95.1,5.8,7.54,0,Low,Low
80.6,12.8,67.6,1.76,7.87,1,Low,High
80.9,51.0,75.3,1.97,7.2,0,High,Low
53.4,0.0,83.0,3.67,8.75,1,Low,High
82.3,68.1,83.2,1.56,9.58,2,High,Low
66.5,56.0,86.6,4.64,7.29,1,Medium,Low
